Row Labels,Count of id
Barabati Stadium,7
Brabourne Stadium,11
Buffalo Park,3
De Beers Diamond Oval,3
Dr DY Patil Sports Academy,17
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11
Dubai International Cricket Stadium,7
Eden Gardens,61
Feroz Shah Kotla,59
Green Park,4
Himachal Pradesh Cricket Association Stadium,9
Holkar Cricket Stadium,5
JSCA International Stadium Complex,7
Kingsmead,15
M Chinnaswamy Stadium,64
"MA Chidambaram Stadium, Chepauk",48
Maharashtra Cricket Association Stadium,15
Nehru Stadium,5
New Wanderers Stadium,8
Newlands,7
OUTsurance Oval,2
"Punjab Cricket Association IS Bindra Stadium, Mohali",11
"Punjab Cricket Association Stadium, Mohali",35
"Rajiv Gandhi International Stadium, Uppal",49
"Sardar Patel Stadium, Motera",12
Saurashtra Cricket Association Stadium,10
Sawai Mansingh Stadium,33
Shaheed Veer Narayan Singh International Stadium,6
Sharjah Cricket Stadium,6
Sheikh Zayed Stadium,7
St George's Park,7
Subrata Roy Sahara Stadium,17
SuperSport Park,12
"Vidarbha Cricket Association Stadium, Jamtha",3
Wankhede Stadium,57
Grand Total,633
